run_id,scenario_id,variant_id,scheduler_name,seed,trace_id,trace_sha256,total_requests,completed_requests,rejected_requests,deadline_satisfaction_rate,useful_goodput_requests_per_second,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,actual_prediction_accuracy,estimated_energy_per_completed_request_units
core-bursty-min_completion-seed-4,bursty,min_completion,min_completion,4,bursty-seed-4,c8e4dec737a205ea5231f02fe03d4e2a304c81531bed3e4fcfc7a9167ab0f171,96,96,0,1.0,4.7,0.6150154999996573,0.6150155000000268,0.9791666666666666,0.6150155
core-bursty-min_completion-seed-5,bursty,min_completion,min_completion,5,bursty-seed-5,177ac64d3c57f4677418197056fbcb96f8109964f61f126235b617eef05df15d,95,95,0,1.0,4.45,0.6266057835792038,0.6150155000000268,0.9368421052631579,0.6150155
core-bursty-round_robin-seed-1,bursty,round_robin,round_robin,1,bursty-seed-1,3b38ed07a58daffa812d0e087fade7389a0430b46bf5fb7fc7b5c13b05e9123c,95,95,0,1.0,4.4,33.09100283410502,73.78920371999993,0.9263157894736842,0.6742333354736841
core-bursty-round_robin-seed-2,bursty,round_robin,round_robin,2,bursty-seed-2,d91af0ff1e9e79435cf8e13838b60e5aeb6fab3a40edabbc4128ef54ed8478dd,98,98,0,1.0,4.85,33.10398057673447,73.78920371999993,0.9897959183673469,0.6742349578571429
core-bursty-round_robin-seed-3,bursty,round_robin,round_robin,3,bursty-seed-3,b19ec7e18ab04d4a1c7a776edadb9bc1be505341f7d113a767ff51e59ed15b1f,90,90,0,1.0,4.45,33.51494242666649,73.78920371999993,0.9888888888888889,0.6742863333333333
core-bursty-round_robin-seed-4,bursty,round_robin,round_robin,4,bursty-seed-4,c8e4dec737a205ea5231f02fe03d4e2a304c81531bed3e4fcfc7a9167ab0f171,96,96,0,1.0,4.7,33.514942426666465,73.78920371999993,0.9791666666666666,0.6742863333333333
core-bursty-round_robin-seed-5,bursty,round_robin,round_robin,5,bursty-seed-5,177ac64d3c57f4677418197056fbcb96f8109964f61f126235b617eef05df15d,95,95,0,1.0,4.45,33.091002834105154,73.78920371999993,0.9368421052631579,0.6742333354736841
core-device_slowdown-edgeweaver-seed-1,device_slowdown,edgeweaver,edgeweaver,1,device_slowdown-seed-1,a97c9319f45c7b372717900e92d54aaa94460bd1034654b5c5a7a0cfe9e1721a,96,96,0,1.0,4.4,0.6150154999996665,0.6150155000000268,0.9166666666666666,0.6150155
core-device_slowdown-edgeweaver-seed-2,device_slowdown,edgeweaver,edgeweaver,2,device_slowdown-seed-2,af4c6962ef234ceedf181ff6348f5024f43e720ccd80124c7e68eb424bf42645,105,105,0,1.0,5.2,0.6150154999996709,0.6150155000000268,0.9904761904761905,0.6150155
core-device_slowdown-edgeweaver-seed-3,device_slowdown,edgeweaver,edgeweaver,3,device_slowdown-seed-3,e26f9cd989c78dabb37e11f5f6c446bc8859a59ab0323345dbe0d02d472bc778,94,94,0,1.0,4.65,0.6177294329947679,0.6150155000000268,0.9893617021276596,0.6150155
